id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country
1;Cécile;Barre;OTHER;")Y<L@d52\[.5z*";0228337326;Music c Yémen;Inde deposit;Leuview;Malawi
2;Camille;Nicolas;MALE;"Hi@l{2w+.Kz4q|";0602683306;Ergonomic Generic bluetooth;copying;Lake Anthelme;Espagne
3;Chilpéric;Michel;OTHER;"4K6)k@$.c0c5";+33 297726764;Electronics;redundant;Niort;Tunisie
4;Agilberte;Dupont;FEMALE;"MYsVUi@+b[.A(+38f";+33 408151545;Bourgogne;override;Christophetown;Tanzanie
5;Élise;Denis;OTHER;"[SL(`@~M/F},.n5'-";0749302496;de;overriding Jordan multi-tasking;New Chloéfort;Mali
6;Félicie;Perez;MALE;"9vaA.#@:i.#";+33 372960819;wireless up;Open-source parsing Presbourg;Philémonside;Soudan
7;David;Dupuis;MALE;"kRIv^@Ovx.;";+33 617951475;generating;Sausages user indexing;Adamfort;Sénégal
8;Chloé;Arnaud;OTHER;"*:Hg%t@o#03=.lWeVM";0767128503;transmit du;Beauty XSS de;Lefevrefort;Kenya
9;Ysaline;Lefevre;MALE;"$ZzkOi@5L}<.Vj7";0725874965;Midi-Pyrénées Awesome;optimize;West Lydie;Somalie
10;Zacharie;Hubert;FEMALE;"|9vP@X[-)9.lwrwoz";+33 503552751;edge d'Abbeville Clothing;Consultant Beauty;South Hippolyteberg;Tuvalu
